iter	Passed	Remaining
0	1	175
1	3	147
2	3	127
3	4	115
4	5	113
5	7	111
6	8	108
7	9	107
8	10	105
9	11	103
10	12	101
11	13	100
12	14	98
13	16	98
14	17	96
15	18	94
16	19	93
17	20	91
18	21	89
19	22	88
20	23	86
21	24	85
22	25	83
23	26	82
24	27	81
25	28	80
26	29	79
27	30	77
28	31	76
29	31	74
30	32	72
31	33	71
32	34	69
33	35	68
34	35	66
35	36	65
36	37	63
37	38	62
38	38	60
39	39	59
40	40	58
41	40	56
42	41	54
43	42	53
44	43	52
45	43	51
46	44	50
47	45	49
48	46	48
49	46	46
50	47	45
51	48	44
52	49	43
53	49	42
54	50	41
55	51	40
56	51	39
57	52	37
58	53	36
59	53	35
60	54	34
61	55	33
62	56	33
63	57	32
64	58	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	62	25
71	63	24
72	64	23
73	64	22
74	65	21
75	66	20
76	67	20
77	67	19
78	68	18
79	69	17
80	69	16
81	70	15
82	71	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	75	9
89	75	8
90	76	7
91	77	6
92	77	5
93	78	5
94	79	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
